Titulo,Artista,Album,Ano,Letra
Aquele Velho Carteado E Algumas Manobrinhas,Charlie Brown Jr,Preço Curto... Prazo Longo,1999,"Seu perfume é sua maresia Ia pra pista andar de skate todo dia Com os manos de fé em boa companhia Aquele velho carteado, minhas manobrinhas Foi então que eu vi, a garota ali, sentada ali no maior style eu decidi dividir Não sou o melhor nem pior em se aproximar de alguém Faço o que quero, quando quero e até que vivo bem Mas e aí, Thronn não se desespere não, vá até uma banca e compre uma revista thrasher na mão Mas e aí, Thronn não se desespere não, vá até uma banca e compre uma revista thrasher na mão (Não se desespere, não) (Não se desespere, não) (Não se desespere, não) Quem tá de fora me procure E arrisque um palpite, eu conheço a parada e cheguei no limite Foi então que eu vi, a garota ali, sentada ali no maior style eu decidi dividir Não sou melhor nem pior em se aproximar de alguém Faço o que quero, quando quero e até que vivo bem Mas e aí, Thronn não se desespere não, vá até uma banca e compre uma revista thrasher na mão Mas e aí, Thronn não se desespere não, vá até uma banca e compre uma revista thrasher na mão Mas e aí, Thronn não se desespere não, vá até uma banca e compre uma revista thrasher na mão Mas e aí, Thronn se desespere não, vá até uma banca e compre uma revista thrasher na mão Seu perfume é sua maresia Ia pra pista andar de skate todo dia Com os manos de fé em boa companhia Aquele velho carteado, minhas manobrinhas!"
Baader-Meinhof Blues,Charlie Brown Jr,Bocas Ordinárias,2002,"A violência é tão fascinante E nossas vidas são tão normais Você passa dia e noite e sempre Vê apartamentos acesos Tudo parece ser tão real Mas você viu esse filme também Andando nas ruas pensei que podia ouvir Alguém me chamando, dizendo meu nome Já estou cheio de me sentir vazio Meu corpo é quente e estou sentindo frio Todo mundo sabe, ninguém quer mais saber Afinal, amar ao proximo é tão demodê (yeah) Ô ô ô ô... Essa justiça desafinada é tão humana e tão errada Nós assistimos televisão também, qual é a diferença? Não estatize meus sentimentos, pra seu governo O meu estado é independente Ô ô ô ô... Já estou cheio de me sentir vazio Meu corpo é quente e estou sentindo frio Todo mundo sabe, ninguém quer mais saber Afinal, amar ao proximo é tão demodê!... Ô ô ô ô..."
Bahia,Charlie Brown Jr,,,"Sorria você esta na Bahia Sorria você acordou mais um dia O povo sangue nobre vindo de navios negreiros Mãe africa, tem filho no mundo intero Aqui vi banho de sol Aqui vi banho de mar Sorria pra você, a Bahia vai estar Então, Sorria você acordou mais um dia Sorria você esta na Bahia Ai Dom Jorge, essa é pra você moleque! Sorria você esta na Bahia Sorria você esta na Bahia Aqui tem praia água de coco capoeira todos os dias ah querido aqui é meu dia seja olhando o mar ou na batida pelourinho periferia todos os lugares onde fui para tocar para você cheguei toquei provei que aqui não tem freguês nem 12 ou 16 nem 12 ou 16 aqui não tem freguês então sorria você esta na Bahia sorria você acordou mais um dia sorria você esta na Bahia sorria você acordou mãe de um mãe de duas mãe de todas as pessoas negras mãe áfrica mãe de um mãe de duas mãe de todas as pessoas negras mãe áfrica oh minha santa padroeira negra do Brasil vem me ajudar vem me ajudar oh minha santa protetora negra do Brasil vem me ajudar vem me ajudar sorria você esta na Bahia sorria você esta na Bahia sorria você esta na Bahia"
Be Myself,Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,"Charlie Brown!!! O que vale nessa vida é o que se vive é o que se faz Mas o que pode se esperar de uma pessoa que não pode sonhar Como ele pode ter o que ele está tão longe Na vitrine coisas que nunca vai poder ter Se ninguém ajudar o que ele vai fazer? Onde vai morar e o que vai ser quando crescer? Quando vem da rua, que é sua, que é minha, que é de ninguém É tudo uma ilusão e você sabe muito bem Impunidade, hipocrisia, dançam de mãos dadas O hino nacional de uma nação condenada A sociedade prega o bem Mas o sistema só alimenta o que é mal Se a nossa cara é prosperar, o povo tem que evoluir também Quase de manhã, mais uma noite no vazio me auto-desafio, lá fora o mundo louco sem perdão nem compaixão A combustão em rota de colisão A sinfonia da destruição Vivendo o sonho e também o pesadelo Vendo o mundo regredindo entre a fé e o dinheiro Saudades do meu pai e dos amigos que morreram Mas o que o velho me ensinou eu jamais me esqueço Seja lá como for, na vida tudo tem seu preço No mundo, o falso e o verdadeiro se confundem Mas os que sabem jamais se iludem Não é fácil encontrar o caminho Mas é bom olhar pro lado e ver que não estou sozinho Todo o mal que é dirigido a nós Nos fortalece e eu não vou desistir (O que vale nessa vida é o que se vive é o que se faz) Nas armadilhas que eu caí Eu fiquei só e ninguém viu (O que vale nessa vida é o que se vive é o que se faz) O que pode se esperar de um ser humano perdido? Que ele viva como nunca fosse morrer? Ou que ele morra como nunca tivesse vivido? O que pode se esperar de uma pessoa que não pode sonhar I wanna think about tomorrow 'Cause tomorrow I want to be with you Don't wanna live in quite sorrow Oh that's the way the world will follow And so it in my mind Just wanna be myself for sometimes Just wanna be myself Acostumado desde cedo com a desgraça em temporada de caça, um subnutrido vítima da farsa, se formou na escola do crime hoje o oprimido é quem oprimi Uma alma carregada de ódio e amor Mas muito mais ódio que amor O aluno e também o professor que ensina qualquer um que não sabe dar valor à vida que tem ou à casa que mora que vive sorrindo enquanto ele chora Só mais um de milhares que se espalham vítima dos nossos governantes que falharam Todo o mal que é dirigido a nós Nos fortalece e eu não vou desistir (O que vale nessa vida é o que se vive é o que se faz) Nas armadilhas que eu cai Eu fiquei só e ninguém viu (O que vale nessa vida é o que se vive é o que se faz) I just wanna be myself... Yeah! Yeah! Play your position 'Cause the world does the man (?) Little kids visions Be my sins, be forgiven Gotta have face You could do what you wanna do Gotta be this way, so don't fool 'Cause the world is Cruel Live by the sword than you die by the sword When I'm asking for peace in the middle of a war Between blacks and whites, between rich and poor So we can stop the mess, overseas and all Trabalho muito, vivo a vida, skateboard estilo de vida um brilho intenso e a humildade de uma mente evoluida."
Beco Sem Saída,Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,"As circunstâncias se tornaram um beco sem saída Seu orgulho te traiu e te jogou no chão E as cicatrizes dessa história mal escrita Se converteram no aprendizado da reconstrução Mas todos vivemos dias incríveis Que não passam de ilusão Todos vivemos dias difíceis Mas nada disso é em vão Todo bem que você faz pra quem te ama E quem te ama te faz E isso tudo é o que te faz levar a vida na paz Só Deus sabe quanto tempo Que o tempo deve levar As circunstâncias se tornaram um beco sem saída Seu orgulho te traiu e te jogou no chão E as cicatrizes dessa história mal escrita Se converteram no aprendizado da reconstrução Mas todos vivemos dias incríveis Que não passam de ilusão Todos vivemos dias difíceis Mas nada disso é em vão Todo bem que você faz pra quem te ama E quem te ama te faz E isso tudo é o que te faz levar a vida na paz Só Deus sabe quanto tempo Que o tempo deve levar Viver, viver e ser livre Saber dar valor para as coisas mais simples Só o amor constrói pontes indestrutíveis x2 A arte maior é o jeito de cada um Vivo pra ser feliz não vivo pra ser comum"
"Bocas Ordinárias, Guerrilha!",Charlie Brown Jr,Bocas Ordinárias,2002,"Eu sou aquele cara que você descartou Aquele braço forte que você não confiou Aquele mortal que você sempre ignorou E que você nunca, nunca vai conseguir superar Cria de rua sagaz, não se deixa controlar Arredio, pronto pra voar Quem é real, sabe o que faz e pode até te ensinar Incapaz de se importar com alquém Um cara que você ignorou e desfez (2x) Matou a bola da vez (3x) Eu sou aquele vento que a tua tenda derrubou Aquela droga forte que você tomou pirou Aquele portal que você nunca atravessou E que você nunca,nunca vai conseguir superar Cria de rua sagaz, não se deixa controlar Arredio, pronto pra voar Quem é real, sabe o que faz e pode até te ensinar Incapaz de se importar com alquém Um cara que você ignorou e desfez (2x) Matou a bola da vez (3x) Bocas Ordinárias Charlie Brown Guerrilha"
Bons Aliados,Charlie Brown Jr,Preço Curto... Prazo Longo,1999,"Bons aliados Com tiro efeito não tem flagrante nem documento Por que viagem pra lei deve servir prá deixar de experiência e vivência sobre a realidade conquistada Não tenho nada, não quero nada, então me diz meu irmão qual é, qual é a parada, não devo nada, não quero nada, não cola, não, não pega nada não Bons aliados na moral sem fragrantes no local Raimundos - Charlie Brown! Bons aliados! Quase perfeitos! De Santos no Cerrado Oh! Cadê o respeito lá vem os homens com fome rapaz e querem me levar Mas eu não vou, não vou não eu não fiz nada Não tenho nada, não quero nada Então me diz qualé, qualé, qualé a parada Não devo nada não falo nada Não rola não não pega nada não ''...(Esse beck é bom...É a massa puffff...da lata) Aí maluco encosta..vai... a casa caiu..vai..vai enconsta,encosta)...'' Charlie Brown! Quem são? Onde estavam? Pra onde vão? Tudo bem quem são? Tudo bem? Tudo bem? ""Piribom""! Quem são? Tudo bem quem são? Tudo bem? Tudo bem? ""Piribom""! Quem são? Esse som é mesmo que disquirisom. Esse som é mesmo que disquirisom. You look for destrucion 'cause today you feel so long yeah Vou te levar yeah (2x)"
Buscando Um Novo Rumo,Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,instrumental
Cada Cabeça Falante Tem Sua Tromba de Elefante,Charlie Brown Jr,Imunidade Musical,2005,"Aí o rap e o rock mano vem cá pra ver Hood, Parte Um, Charlie Brown,o coro vai comer Cara de mau, parceiro, qualquer um faz, Difícil mesmo é ser soldado da paz É correria, nego, noite e dia, Na chuva, no sol, na tristeza e na alegria Problema todos têm e eu tenho também, mas graças a Deus não devo nada a ninguém A vida é mesmo assim metarmofose ambulante Sou mais um guerreiro nessa luta constante Chorão, skatista sangue bom Tamo junto, é mó satisfação Assim que é a casa tá de pé A batalha continua, parceiro, vai na fé Eu vou com tudo fazendo a correria com a família nova Humildade e atitude aqui tem de sobra E a vida é desse jeito e a mudança faz parte Todo movimento da roda é uma arte Se quiser correr comigo, tem que correr do meu lado O tempo voa e eu não vou ficar parado, Então faça o que quiser, mas faça a coisa certa E se quiser fazer, pode crer que a hora é essa Refrão (2x) Então me diz se tu vai ficar falando Então me diz, me diz se tu vai ficar falando Com sua boca falante e a tromba de elefante A casa aqui é pequena, mas a situação é grande Sk8 board na veia, rock'n'roll até a alma Quem tá comigo faz barulho e bate palma Acho que tu caiu do berço e ficou com algum trauma A cabeça tá doendo então vê se vai com calma Eu vivo de trabalho, eu não vivo de aparência Eu sou contra alienação, eu sou contra a decadência Fome e guerra civil Enganaram todo mundo e não salvaram o Brasil Botaram fogo no pavio, essa porra vai explodir E só você que ainda não viu Refrão Charlie Brown Imunidade musical O som de ouvir em casa, na pista, na rua, a base aqui não pula Dinâmica de grupo muda a fase como a lua, Mas é sempre rara a rima de onde vem irmão na faixa com Chorão madruga adentro Defendo várias teses desse microfone aberto Na real, estou mais perto da verdade do que pensam e Admiro quem me trouxe até aqui são e ileso O som tem que ter peso Sim, eu sempre sou coeso na reunião Eu sofro quando eu vejo a decadência desse mundo injusto e imundo, Cheio de guerra, gente fútil A Babilônia loteou a Amazônia, Eles dão tapa na cara de quem fuma maconha, Fica complicado tu tentar entender O que tu tem a ganhar e o que tu tem a perder Fica complicado tu tentar entender Mas se você ficar falando, você vai é se fuder (2x) Então me diz se você vai ficar falando Então me diz, me diz se tu vai ficar falando Com sua boca falante e a tromba de elefante A casa aqui é pequena, mas a situação é grande Charlie brown Imunidade musical Cidadão comum, refém, Parte Um Charlie Brown, Rapin Hood pra ficar tudo bem Paz, sabedoria, musicalidade  (fonte: site oficial)"
Café Fundation,Charlie Brown Jr,"Ritmo, Ritual e Responsa",2007,(Instrumental)
Camisa 10 Joga Bola Até na Chuva (Bomba Sônica),Charlie Brown Jr,Camisa 10 Joga Bola Até na Chuva,2009,"Sem desandar, sem humilhar ninguém É assim que eu quero ser, sim, um cara melhor Não melhor do que ninguém, mas o melhor que eu puder ser O tempo passa e tudo muda e você tem que entender Que existem vários caminhos, escolha um pra você Você tem o dom da voz, você tem o poder De prosperar, de evoluir e de fazer acontecer De prosperar, de evoluir e de fazer acontecer Entenda como se comportam os homens Não se respeitam e não se tratam como irmãos Pois quase tudo gira em torno de poder E sufocado eu me liberto nessa canção Então faça o que tiver que fazer Busque a evolução e se liberte Não fique aí perdido no espaço Pois ficar só reclamando é muito fácil Você nasceu pra brilhar, o sol está em suas mãos Livre eu vivo, livre eu sou Livre eu vivo, livre eu sou Camisa 10 joga bola até na chuva Eu não sou envolvido mas meu papo não faz curva Sem sequer imaginar no que viria a ser melhor Sólido na volta, por cima, eu vou com tudo Pode anunciar e convidar todo mundo Nessa vida eu quero amor, paz, sossego e liberdade Charlie Brown Jr invadindo a cidade Na vida eu quero amor, paz, sossego e liberdade Charlie Brown Jr invadindo a cidade Na vida eu quero amor, paz, sossego e liberdade Charlie Brown Jr invadindo a cidade Livre eu vivo, livre eu sou Livre eu vivo, livre eu sou Camisa 10 joga bola até na chuva Eu não sou envolvido mas meu papo não faz curva Sem sequer imaginar no que viria a ser melhor Sólido na volta, por cima, eu vou com tudo Pode anunciar e convidar todo mundo Nessa vida eu quero amor, paz, sossego e liberdade Charlie Brown Jr invadindo a cidade Na vida eu quero amor, paz, sossego e liberdade Charlie Brown Jr invadindo a cidade Na vida eu quero amor, paz, sossego e liberdade Charlie Brown Jr invadindo a cidade"
Camisa Preta,Charlie Brown Jr,La Familia 013,2013,"Todo mundo sabe bem que a gente tira muita onda Todo mundo sabe bem que a gente só queima de pomba Todo mundo sabe bem que aqui só tem bom coração Todo mundo sabe bem que aqui não tem vacilação Somos poucos, mas somos loucos Ninguém segura o visionário, bicho solto Um ser humano nunca é igual o outro Mas um guerreiro é que salva o outro Meu nome é Chorão e eu sou linha de frente Mas esqueço do mundo quando ando de skate De vez enquando eu vou pro baile, que é pra sola gastar Eu trabalho pra caralho, mas nasci pra vadiar Porque é bem assim que eu sou, maloqueiro que virou Seu castelo de areia, o vento levou Muitos sabem quem eu sou, mas poucos me conhecem Uma mulher que eu já catei, pode crer que não me esquece Vencer na vida não é fácil, num mundo decadente Um milhão de recalcado pra puxar o seu tapete Mas do jeito que eu vim, é do jeito que eu vou É como vivo, como ando, como penso, como sou! Somos poucos, mas somos loucos Ninguém segura o visionário, bicho solto Um ser humano nunca é igual o outro Mas um guerreiro é que salva o outro"
